feature,importance_gain
GPC_7_X_X06_PRCP,0.0
GPC_7_X_X05_TAVG,0.0
GPC_7_X_X05_PRCP,0.0
GPC_7_X_X04_TAVG,0.0
GPC_7_X_X04_PRCP,0.0
GPC_6_X_X10_PRCP,0.0
GPC_6_X_X09_PRCP,0.0
GPC_6_X_X08_PRCP,0.0
GPC_6_X_X07_PRCP,0.0
GPC_6_X_X06_TAVG,0.0
GPC_6_X_X06_PRCP,0.0
GPC_9_X_X06_TAVG,0.0
GPC_9_X_X06_PRCP,0.0
GPC_9_X_X05_TAVG,0.0
GPC_9_X_X05_PRCP,0.0
GPC_9_X_X04_TAVG,0.0
GPC_9_X_X04_PRCP,0.0
GPC_8_X_X10_PRCP,0.0
GPC_8_X_X09_PRCP,0.0
GPC_8_X_X08_PRCP,0.0
GPC_8_X_X07_PRCP,0.0
GPC_8_X_X06_TAVG,0.0
GPC_8_X_X06_PRCP,0.0
GPC_8_X_X05_TAVG,0.0
GPC_8_X_X05_PRCP,0.0
GPC_8_X_X04_TAVG,0.0
GPC_8_X_X04_PRCP,0.0
PHH2O_30_60CM,0.0
PHH2O_15_30CM,0.0
PHH2O_100_200CM,0.0
PHH2O_0_5CM,0.0
NITROGEN_60_100CM,0.0
NITROGEN_5_15CM,0.0
NITROGEN_30_60CM,0.0
NITROGEN_15_30CM,0.0
NITROGEN_100_200CM,0.0
NITROGEN_0_5CM,0.0
MAB_PROJECT_ID,0.0
HTDD_SUM,0.0
GPC_9_X_X10_PRCP,0.0
GPC_9_X_X09_PRCP,0.0
GPC_9_X_X08_PRCP,0.0
GPC_9_X_X07_PRCP,0.0
SILT_5_15CM,0.0
SILT_30_60CM,0.0
SILT_15_30CM,0.0
SILT_100_200CM,0.0
SILT_0_5CM,0.0
SAND_60_100CM,0.0
SAND_5_15CM,0.0
SAND_30_60CM,0.0
SAND_15_30CM,0.0
SAND_100_200CM,0.0
SAND_0_5CM,0.0
PROJECTID_1,0.0
PROJECTID,0.0
PRCP_MEAN,0.0
PHH2O_60_100CM,0.0
PHH2O_5_15CM,0.0
GPC_11_X_X04_PRCP,0.0
GPC_10_X_X10_PRCP,0.0
GPC_10_X_X09_PRCP,0.0
GPC_10_X_X08_PRCP,0.0
GPC_10_X_X07_PRCP,0.0
GPC_10_X_X06_TAVG,0.0
GPC_10_X_X06_PRCP,0.0
GPC_10_X_X05_TAVG,0.0
GPC_10_X_X05_PRCP,0.0
GPC_10_X_X04_TAVG,0.0
GPC_10_X_X04_PRCP,0.0
X08_CLDD,0.0
GERMPLASM_ID_TESTER,0.0
SOC_100_200CM,0.0
SOC_0_5CM,0.0
SILT_60_100CM,0.0
X05_DP01,0.0
X05_CLDD,0.0
X04_TAVG,0.0
X04_PRCP,0.0
X04_HTDD,0.0
X04_DP10,0.0
X04_DP01,0.0
X04_CLDD,0.0
UNNAMED_0_Y,0.0
UNNAMED_0_X,0.0
TAVG_MEAN,0.0
SOC_60_100CM,0.0
SOC_5_15CM,0.0
SOC_30_60CM,0.0
SOC_15_30CM,0.0
GPC_11_X_X04_TAVG,0.0
CFVO_60_100CM,0.0
X07_PRCP,0.0
X07_HTDD,0.0
X07_DP10,0.0
X07_DP01,0.0
X07_CLDD,0.0
X06_TAVG,0.0
X06_PRCP,0.0
X06_HTDD,0.0
X06_DP10,0.0
X06_DP01,0.0
X06_CLDD,0.0
X05_TAVG,0.0
X05_PRCP,0.0
X05_HTDD,0.0
X05_DP10,0.0
CFVO_30_60CM,0.0
CFVO_0_5CM,0.0
X10_DP01,0.0
X10_CLDD,0.0
X09_TAVG,0.0
X09_PRCP,0.0
X09_HTDD,0.0
X09_DP10,0.0
X09_DP01,0.0
X09_CLDD,0.0
X08_TAVG,0.0
X08_PRCP,0.0
X08_HTDD,0.0
X08_DP10,0.0
X08_DP01,0.0
CFVO_5_15CM,0.0
